GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,644.775095896862,1160.0490617159503,20.45089056088447,,Summary1.As2,NEW ZEALAND,1998,Sector
"4.  Land use, land-use change and forestry  (4)",-23536.978690769796,4.82095067522637,1.37691846311097,,Summary1.As2,NEW ZEALAND,1998,Sector
5.  Waste,148.515221403047,164.36407840635047,0.41715040561892,,Summary1.As2,NEW ZEALAND,1998,Sector
6.  Other   (please specify)(6),1.42211205479727,0.07190601458241,0.0001937166038,0.02468227446333,Summary1.As2,NEW ZEALAND,1998,Sector
