GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,908.8241526499662,1177.9872890041354,24.92493456066417,,Summary1.As2,NEW ZEALAND,2021,Sector
"4.  Land use, land-use change and forestry  (4)",-21358.208700069048,1.30540367459202,0.8302189309193,,Summary1.As2,NEW ZEALAND,2021,Sector
5.  Waste,90.6241150456732,118.2103739945328,0.56727581560644,,Summary1.As2,NEW ZEALAND,2021,Sector
6.  Other   (please specify)(6),2.02588156008912,0.05906299367775,0.00015200154624,0.23346908339192,Summary1.As2,NEW ZEALAND,2021,Sector
