GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,1064.1014054721436,1221.8534261441175,24.10694642637056,,Summary1.As2,NEW ZEALAND,2005,Sector
"4.  Land use, land-use change and forestry  (4)",-25803.86575517465,4.31090548801008,1.33098050692358,,Summary1.As2,NEW ZEALAND,2005,Sector
5.  Waste,119.4619999496389,165.3678508090332,0.42285302730193,,Summary1.As2,NEW ZEALAND,2005,Sector
6.  Other   (please specify)(6),2.44543467240722,0.07705029465036,0.00012947338174,0.07690128033133,Summary1.As2,NEW ZEALAND,2005,Sector
