GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs (1) (kt CO2 equivalent),Sheet,Country,Year,Level
3.  Agriculture,998.7601564695651,1213.7809355922088,24.87231558669136,,Summary1.As2,NEW ZEALAND,2014,Sector
"4.  Land use, land-use change and forestry  (4)",-26805.67139996952,2.75507658079217,1.05018980186658,,Summary1.As2,NEW ZEALAND,2014,Sector
5.  Waste,102.98329954871198,131.18899541449736,0.47869740818945,,Summary1.As2,NEW ZEALAND,2014,Sector
6.  Other   (please specify)(6),1.64080967030672,0.06381911106816,0.00012936142416,0.20858809866443,Summary1.As2,NEW ZEALAND,2014,Sector
