GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector,SF6 (kt),HFCs(1) (kt CO2 equivalent),PFCs(1)
                                           Sectoral approach(2),23863.63274300285,2.14011218487926,0.13726003845238,Summary1.As1,ESTONIA,1992,Subsector,1. Energy,,,
1.  Energy industries,19704.991788499075,0.06074769171585,0.03086364759884,Summary1.As1,ESTONIA,1992,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1948.396225263151,0.06188987084181,0.01225273971237,Summary1.As1,ESTONIA,1992,Subsector,1. Energy,,,
3.  Transport,1134.28429146159,0.37047956984756,0.0716545802981,Summary1.As1,ESTONIA,1992,Subsector,1. Energy,,,
4.  Other sectors,1075.9604377790356,1.64699505247404,0.02248907084307,Summary1.As1,ESTONIA,1992,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.05706114750763,1.50281086924428,,Summary1.As1,ESTONIA,1992,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.05706114750763,1.50281086924428,,Summary1.As1,ESTONIA,1992,Subsector,1. Energy,,,
A.  Mineral industry,380.00030591181866,,,Summary1.As1,ESTONIA,1992,Subsector,1. Energy,,,
B.  Chemical industry,145.43297149321802,,,Summary1.As1,ESTONIA,1992,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,26.037867730952,,,Summary1.As1,ESTONIA,1992,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,1992,Subsector,2.  Industrial processes and product use,,15.9210727,
G.  Other product manufacture and use ,,,0.01742844567678,Summary1.As1,ESTONIA,1992,Subsector,2.  Industrial processes and product use,3.9628125e-06,,
H.  Other(3),,,,Summary1.As1,ESTONIA,1992,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),20163.36621126952,,,Summary1.As1,ESTONIA,1993,Subsector,1. Energy,,,
                                           Sectoral approach(2),19107.105861669592,1.78978292245268,0.13368548129896,Summary1.As1,ESTONIA,1993,Subsector,1. Energy,,,
1.  Energy industries,15167.886527498698,0.06557286810505,0.02544258899551,Summary1.As1,ESTONIA,1993,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1810.7878367687877,0.04766603281599,0.01027692371779,Summary1.As1,ESTONIA,1993,Subsector,1. Energy,,,
3.  Transport,1274.857392669937,0.40883398927578,0.07842890474781,Summary1.As1,ESTONIA,1993,Subsector,1. Energy,,,
4.  Other sectors,853.5741047321702,1.26771003225586,0.01953706383785,Summary1.As1,ESTONIA,1993,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.02828373466115,0.74490447052275,,Summary1.As1,ESTONIA,1993,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.02828373466115,0.74490447052275,,Summary1.As1,ESTONIA,1993,Subsector,1. Energy,,,
A.  Mineral industry,246.0772314244241,,,Summary1.As1,ESTONIA,1993,Subsector,1. Energy,,,
B.  Chemical industry,57.88067192776548,,,Summary1.As1,ESTONIA,1993,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,22.640674150952,,,Summary1.As1,ESTONIA,1993,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,1993,Subsector,2.  Industrial processes and product use,,18.3739370862071,
G.  Other product manufacture and use ,,,0.0178603891988,Summary1.As1,ESTONIA,1993,Subsector,2.  Industrial processes and product use,6.0812125e-05,,
H.  Other(3),,,,Summary1.As1,ESTONIA,1993,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),20722.02361557333,,,Summary1.As1,ESTONIA,1994,Subsector,1. Energy,,,
                                           Sectoral approach(2),19471.257459432607,1.80844271383732,0.14974163406883,Summary1.As1,ESTONIA,1994,Subsector,1. Energy,,,
1.  Energy industries,15761.29048722974,0.07613914809994,0.02711646061274,Summary1.As1,ESTONIA,1994,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1535.1996781014382,0.05211325041971,0.0101209769389,Summary1.As1,ESTONIA,1994,Subsector,1. Energy,,,
3.  Transport,1569.7811299934383,0.54574733830949,0.09121674742936,Summary1.As1,ESTONIA,1994,Subsector,1. Energy,,,
4.  Other sectors,604.9861641079907,1.13444297700818,0.02128744908783,Summary1.As1,ESTONIA,1994,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.04062120926928,1.069834685739,,Summary1.As1,ESTONIA,1994,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.04062120926928,1.069834685739,,Summary1.As1,ESTONIA,1994,Subsector,1. Energy,,,
A.  Mineral industry,346.95892771330983,,,Summary1.As1,ESTONIA,1994,Subsector,1. Energy,,,
B.  Chemical industry,194.23616778029697,,,Summary1.As1,ESTONIA,1994,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,26.508730430952,,,Summary1.As1,ESTONIA,1994,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,1994,Subsector,2.  Industrial processes and product use,,21.034340287984,
G.  Other product manufacture and use ,,,0.0193067389848,Summary1.As1,ESTONIA,1994,Subsector,2.  Industrial processes and product use,0.0001301614375,,
H.  Other(3),,,,Summary1.As1,ESTONIA,1994,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),18550.762429230344,,,Summary1.As1,ESTONIA,1995,Subsector,1. Energy,,,
                                           Sectoral approach(2),17456.323077245543,2.04633902616334,0.15246564295924,Summary1.As1,ESTONIA,1995,Subsector,1. Energy,,,
1.  Energy industries,13791.472837409732,0.05628294181681,0.01991160114109,Summary1.As1,ESTONIA,1995,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1498.6508149035494,0.06489286992871,0.01234167565616,Summary1.As1,ESTONIA,1995,Subsector,1. Energy,,,
3.  Transport,1546.91131645586,0.49491883449857,0.09242131503898,Summary1.As1,ESTONIA,1995,Subsector,1. Energy,,,
4.  Other sectors,619.2881084764017,1.43024437991925,0.02779105112301,Summary1.As1,ESTONIA,1995,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.04632146135086,1.2199613684256,,Summary1.As1,ESTONIA,1995,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.04632146135086,1.2199613684256,,Summary1.As1,ESTONIA,1995,Subsector,1. Energy,,,
A.  Mineral industry,364.3633923724706,,,Summary1.As1,ESTONIA,1995,Subsector,1. Energy,,,
B.  Chemical industry,207.8252792552031,,,Summary1.As1,ESTONIA,1995,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,24.89055093184,,,Summary1.As1,ESTONIA,1995,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,1995,Subsector,2.  Industrial processes and product use,,26.48875495031643,
G.  Other product manufacture and use ,,,0.02026163819502,Summary1.As1,ESTONIA,1995,Subsector,2.  Industrial processes and product use,0.00013484075,,
H.  Other(3),,,,Summary1.As1,ESTONIA,1995,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),19618.90926582932,,,Summary1.As1,ESTONIA,1996,Subsector,1. Energy,,,
                                           Sectoral approach(2),18429.40783921352,2.44436086728367,0.17013471843822,Summary1.As1,ESTONIA,1996,Subsector,1. Energy,,,
1.  Energy industries,14457.97081450558,0.06390901105335,0.02224271284914,Summary1.As1,ESTONIA,1996,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1583.2664840816524,0.07347109173708,0.01390893747989,Summary1.As1,ESTONIA,1996,Subsector,1. Energy,,,
3.  Transport,1629.597668885859,0.53791109711292,0.10148378961333,Summary1.As1,ESTONIA,1996,Subsector,1. Energy,,,
4.  Other sectors,758.5728717404255,1.76906966738032,0.03249927849586,Summary1.As1,ESTONIA,1996,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.05108416773631,1.34539605096708,,Summary1.As1,ESTONIA,1996,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.05108416773631,1.34539605096708,,Summary1.As1,ESTONIA,1996,Subsector,1. Energy,,,
A.  Mineral industry,377.2230385424368,,,Summary1.As1,ESTONIA,1996,Subsector,1. Energy,,,
B.  Chemical industry,202.8127622666873,,,Summary1.As1,ESTONIA,1996,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,26.17085948576,,,Summary1.As1,ESTONIA,1996,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,1996,Subsector,2.  Industrial processes and product use,,32.44898540451012,
G.  Other product manufacture and use ,,,0.02122589897791,Summary1.As1,ESTONIA,1996,Subsector,2.  Industrial processes and product use,0.00014619009,,
H.  Other(3),,,,Summary1.As1,ESTONIA,1996,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),19208.25605390729,,,Summary1.As1,ESTONIA,1997,Subsector,1. Energy,,,
                                           Sectoral approach(2),18022.715869496937,2.2812661193086,0.16893528692811,Summary1.As1,ESTONIA,1997,Subsector,1. Energy,,,
1.  Energy industries,14303.385094590374,0.06945464885041,0.02387986641452,Summary1.As1,ESTONIA,1997,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1341.9191173473955,0.05580497657245,0.01060152688805,Summary1.As1,ESTONIA,1997,Subsector,1. Energy,,,
3.  Transport,1724.1660876517171,0.56887941658554,0.101120303905,Summary1.As1,ESTONIA,1997,Subsector,1. Energy,,,
4.  Other sectors,653.2455699074504,1.5871270773002,0.03333358972054,Summary1.As1,ESTONIA,1997,Subsector,1. Energy,,,
B. Fugitive emissions from fuels,0.04963829828783,1.30731640452498,,Summary1.As1,ESTONIA,1997,Subsector,1. Energy,,,
2.  Oil and natural gas and other emissions from energy production,0.04963829828783,1.30731640452498,,Summary1.As1,ESTONIA,1997,Subsector,1. Energy,,,
A.  Mineral industry,413.90646716560747,,,Summary1.As1,ESTONIA,1997,Subsector,1. Energy,,,
B.  Chemical industry,211.4021788637312,,,Summary1.As1,ESTONIA,1997,Subsector,1. Energy,,,
D.  Non-energy products from fuels and solvent use ,24.9699819952,,,Summary1.As1,ESTONIA,1997,Subsector,2.  Industrial processes and product use,,,
F.  Product uses as substitutes for ODS,,,,Summary1.As1,ESTONIA,1997,Subsector,2.  Industrial processes and product use,,39.00849173447269,
G.  Other product manufacture and use ,,,0.02219591820565,Summary1.As1,ESTONIA,1997,Subsector,2.  Industrial processes and product use,0.00012503939,,
H.  Other(3),,,,Summary1.As1,ESTONIA,1997,Subsector,2.  Industrial processes and product use,,,
A. Fuel combustion     Reference approach(2),17051.101260136908,,,Summary1.As1,ESTONIA,1998,Subsector,1. Energy,,,
                                           Sectoral approach(2),16219.5216867542,1.83838363562589,0.17070614561597,Summary1.As1,ESTONIA,1998,Subsector,1. Energy,,,
1.  Energy industries,12608.254409925985,0.07341332972675,0.02004445530928,Summary1.As1,ESTONIA,1998,Subsector,1. Energy,,,
2.  Manufacturing industries and construction                          ,1206.9122520815624,0.05357643100961,0.0098934319597,Summary1.As1,ESTONIA,1998,Subsector,1. Energy,,,
3.  Transport,1787.1049922409848,0.56146561085814,0.11384157341801,Summary1.As1,ESTONIA,1998,Subsector,1. Energy,,,
