GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
                                           Sectoral approach(2),127106.2483838011,58.18801581330186,2.11849479316563,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,1. Energy,,
1.  Energy industries,54068.98463437333,0.65573325431283,0.79187732591001,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,36531.667614606624,3.19878812729639,0.47231341861456,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,1. Energy,,
3.  Transport,9993.690584559004,3.18544200264619,0.34367035437538,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,1. Energy,,
4.  Other sectors,26326.09105646213,51.12590897432323,0.50412156639248,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,1. Energy,,
5.  Other,185.8144938,0.02214345472322,0.0065121278732,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,1. Energy,,
B. Fugitive emissions from fuels,378.09134314931305,418.3123331062173,6.753791396e-05,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,1. Energy,,
1.  Solid fuels,373.45015500000005,385.120875,,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,4.64118814931302,33.19145810621728,6.753791396e-05,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,1. Energy,,
B.  Chemical industry,1626.12612,1.2811354142,2.3961453,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,7485.9404865657025,0.23916860769231,,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,93.14057866666668,,,,Summary1.As1,CZECH REPUBLIC,1993,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,,,0.692,0.00379666547001,Summary1.As1,CZECH REPUBLIC,1993,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),115738.65224100382,,,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,1. Energy,,
                                           Sectoral approach(2),118566.94436361194,54.12905636081157,2.09403209835213,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,1. Energy,,
1.  Energy industries,54586.6711442528,0.68620063897648,0.80038571899527,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,28999.112457010004,2.72558052041239,0.39991977744768,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,1. Energy,,
3.  Transport,10878.304470869803,3.51170344615812,0.43841779593677,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,1. Energy,,
4.  Other sectors,23891.772141579328,47.18028358491687,0.447768202912,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,1. Energy,,
5.  Other,211.0841499,0.02528817034771,0.00754060306041,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,1. Energy,,
B. Fugitive emissions from fuels,367.9301596980142,394.2340787665264,7.788155844e-05,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,1. Energy,,
1.  Solid fuels,362.60079,361.619955,,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,5.32936969801418,32.61412376652636,7.788155844e-05,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,1. Energy,,
B.  Chemical industry,1923.0922837164,1.453217123,3.0326806,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,2.  Industrial processes and product use,,
C.  Metal industry,8194.311568122577,0.28050381593846,,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,2.  Industrial processes and product use,,
D.  Non-energy products from fuels and solvent use ,113.77298533333332,,,,Summary1.As1,CZECH REPUBLIC,1994,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,,,0.692,0.00384482647897,Summary1.As1,CZECH REPUBLIC,1994,Subsector,2.  Industrial processes and product use,,
