GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector,HFCs(1) (kt CO2 equivalent),PFCs(1)
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
A.  Mineral industry,1.28046787,,,,Summary1.As1,MALTA,1993,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.50412063659286,,,,Summary1.As1,MALTA,1993,Subsector,2.  Industrial processes and product use,,
G.  Other product manufacture and use ,,,0.00889417289467,6.2586e-05,Summary1.As1,MALTA,1993,Subsector,2.  Industrial processes and product use,,
A. Fuel combustion     Reference approach(2),2511.3018700000025,,,,Summary1.As1,MALTA,1994,Subsector,1. Energy,,
                                           Sectoral approach(2),2652.700856559887,0.20408903091859,0.03437162174026,,Summary1.As1,MALTA,1994,Subsector,1. Energy,,
1.  Energy industries,1809.1218,0.056598,0.0179496,,Summary1.As1,MALTA,1994,Subsector,1. Energy,,
2.  Manufacturing industries and construction                          ,70.4890171818694,0.00272216924951,0.00053635122525,,Summary1.As1,MALTA,1994,Subsector,1. Energy,,
3.  Transport,429.6643664130991,0.10204448901919,0.01270073212381,,Summary1.As1,MALTA,1994,Subsector,1. Energy,,
4.  Other sectors,342.45452536295585,0.04267488753186,0.00315800702952,,Summary1.As1,MALTA,1994,Subsector,1. Energy,,
5.  Other,0.97114760196265,4.948511803e-05,2.693136168e-05,,Summary1.As1,MALTA,1994,Subsector,1. Energy,,
B. Fugitive emissions from fuels,,,,,Summary1.As1,MALTA,1994,Subsector,1. Energy,,
2.  Oil and natural gas and other emissions from energy production,,,,,Summary1.As1,MALTA,1994,Subsector,1. Energy,,
A.  Mineral industry,1.55471232,,,,Summary1.As1,MALTA,1994,Subsector,1. Energy,,
D.  Non-energy products from fuels and solvent use ,3.48628427506781,,,,Summary1.As1,MALTA,1994,Subsector,2.  Industrial processes and product use,,
F.  Product uses as substitutes for ODS,,,,,Summary1.As1,MALTA,1994,Subsector,2.  Industrial processes and product use,0.000858,
G.  Other product manufacture and use ,,,0.00890187787855,6.2781e-05,Summary1.As1,MALTA,1994,Subsector,2.  Industrial processes and product use,,
