GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),51783.25514640607,,,,Summary1.As1,DENMARK,1990,Subsector,1. Energy
                                           Sectoral approach(2),52621.15948816551,11.18907455645463,1.03854251055615,,Summary1.As1,DENMARK,1990,Subsector,1. Energy
1.  Energy industries,26434.909945255877,0.62849101159835,0.28960833866089,,Summary1.As1,DENMARK,1990,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,5754.804306940402,0.32368832282717,0.20913893223781,,Summary1.As1,DENMARK,1990,Subsector,1. Energy
3.  Transport,10777.485602526393,3.21811821570888,0.3359052340431,,Summary1.As1,DENMARK,1990,Subsector,1. Energy
4.  Other sectors,9478.74648456332,6.93667623309169,0.19886571309486,,Summary1.As1,DENMARK,1990,Subsector,1. Energy
5.  Other,175.213148879519,0.08210077322854,0.00502429251949,,Summary1.As1,DENMARK,1990,Subsector,1. Energy
B. Fugitive emissions from fuels,340.73103759201,5.32804196380928,0.00041774584104,,Summary1.As1,DENMARK,1990,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,340.73103759201,5.32804196380928,0.00041774584104,,Summary1.As1,DENMARK,1990,Subsector,1. Energy
A.  Mineral industry,973.473045769,,,,Summary1.As1,DENMARK,1990,Subsector,1. Energy
