GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
C. Grassland (4),1886.350209595585,4.2413483604825,5.827113129e-05,Summary1.As2,DENMARK,2001,Subsector,"4.  Land use, land-use change and forestry  (4)"
D. Wetlands (4),79.46722750839078,0.27487578408,0.00075220471092,Summary1.As2,DENMARK,2001,Subsector,"4.  Land use, land-use change and forestry  (4)"
E. Settlements (4),298.4856981356791,,0.10032118988048,Summary1.As2,DENMARK,2001,Subsector,"4.  Land use, land-use change and forestry  (4)"
G. Harvested wood products ,152.674235304,,,Summary1.As2,DENMARK,2001,Subsector,"4.  Land use, land-use change and forestry  (4)"
A.  Solid waste disposal (5),,34.9100097721185,,Summary1.As2,DENMARK,2001,Subsector,"4.  Land use, land-use change and forestry  (4)"
B.  Biological treatment of solid waste (5),,3.7257190326728,0.18023,Summary1.As2,DENMARK,2001,Subsector,"4.  Land use, land-use change and forestry  (4)"
C.  Incineration and open burning of waste (5),3.28211629375565,0.08595815208988,0.00280057656812,Summary1.As2,DENMARK,2001,Subsector,"4.  Land use, land-use change and forestry  (4)"
