GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),7002.086805560007,,,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy
                                           Sectoral approach(2),7277.993699053899,0.57133721920384,0.10471277755067,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy
1.  Energy industries,3653.38,0.14305,0.02854,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,868.3180557142856,0.04535100249143,0.0079593368023,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy
3.  Transport,2077.4467333396133,0.21169171671241,0.06301966074837,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy
4.  Other sectors,664.9018100000001,0.1644545,0.00505273,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy
5.  Other,13.9471,0.00679,0.00014105,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy
A.  Mineral industry,902.3726,,,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,3.476233457,,,,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy
F.  Product uses as substitutes for ODS,,,,137.7896793986877,,Summary1.As1,CYPRUS,2006,Subsector,1. Energy
