GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),5870.705802414649,,,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy
                                           Sectoral approach(2),6003.616182584364,0.7265119643937,0.09054340396854,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy
1.  Energy industries,3023.1086766,0.12048894750939,0.02393760950188,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,554.091896475,0.1126095626468,0.0160357714888,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy
3.  Transport,1901.918280169364,0.10279650203551,0.04357600545486,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy
4.  Other sectors,498.01459447999997,0.387217715202,0.006780837703,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy
5.  Other,26.48273486,0.003399237,0.00021317982,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy
A.  Mineral industry,902.15011222316,,,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,4.9221074488,,,,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy
F.  Product uses as substitutes for ODS,,,,335.68389722515053,,Summary1.As1,CYPRUS,2020,Subsector,1. Energy
