GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),7574.497760426673,,,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy
                                           Sectoral approach(2),7738.774315189102,0.68939188382451,0.08888997832302,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy
1.  Energy industries,3992.47,0.15541,0.031188,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,798.9040642857144,0.04745800262856,0.0079991539657,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy
3.  Transport,2310.3194509033874,0.18472888119595,0.04308787435732,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy
4.  Other sectors,616.7944,0.295635,0.0064416,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy
5.  Other,20.2864,0.00616,0.00017335,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy
A.  Mineral industry,726.7371,,,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy
D.  Non-energy products from fuels and solvent use ,3.54335117,,,,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy
F.  Product uses as substitutes for ODS,,,,182.72109301105138,,Summary1.As1,CYPRUS,2009,Subsector,1. Energy
