GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
1.  Solid fuels,110.4435380186,0.438,,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,641.555790445,77.03898846,,,,,Summary1.As1,NETHERLANDS,1992,Subsector,1. Energy
B.  Chemical industry,4266.918909246901,10.778585,23.90837772402506,4711.904488,,,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
C.  Metal industry,396.122111,,,,2132.29494,,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,189.4881429817256,0.006174206115,,,,,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,31.0402030875009,,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.30275,2.04625141541574,0.77029431939497,,,0.005879,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
H.  Other(3),63.783,,,,,,Summary1.As1,NETHERLANDS,1992,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),160670.8270823605,,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
                                           Sectoral approach(2),163717.4356160497,41.4450406302495,1.50927170803875,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
1.  Energy industries,56211.73083014714,3.30113435149667,0.4994741794647,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,33400.395920627816,2.752477755585,0.12164862848753,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
3.  Transport,30346.85498841488,6.02649525686746,0.68993037395432,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
4.  Other sectors,43451.69787685988,29.33474654630037,0.1801857661322,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
5.  Other,306.756,0.03018672,0.01803276,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
B. Fugitive emissions from fuels,685.4763181611,77.32247846,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
1.  Solid fuels,110.4435380186,0.438,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,575.0327801425,76.88447846,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,1. Energy
B.  Chemical industry,4150.784278769847,10.696034,25.52946635775884,5295.16282,,,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
C.  Metal industry,393.412815,,,,2154.42813,,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,222.66945198188705,0.0062191101742,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,35.6962335506259,,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.307075,1.98951096706819,0.73927513861462,,,0.006151,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
H.  Other(3),59.436188,,,,,,Summary1.As1,NETHERLANDS,1993,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),160535.64483441837,,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
                                           Sectoral approach(2),164272.96718888226,42.19057556840447,1.60908661946528,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
1.  Energy industries,60180.18209885922,3.30812865200616,0.54089778700772,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,33300.05013892493,2.83534424711979,0.11010904637001,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
3.  Transport,29720.17000135713,5.6092162027884,0.76890774419088,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
4.  Other sectors,40793.78483504098,30.41153731649012,0.17336507249667,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
5.  Other,278.7801147,0.02634915,0.0158069694,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,619.3961421409119,77.33512546,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
1.  Solid fuels,110.980416328412,0.4394,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,508.4157258125,76.89572546,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,1. Energy
B.  Chemical industry,4332.523537180627,10.696181,25.00442891964508,6784.462314,,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
C.  Metal industry,380.83057,,,,2066.8641,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,193.7574865895075,0.0062608877793,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,41.0506685832199,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,67.74879946215805,,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.324375,2.03128423720618,0.70135500225696,,,0.007871,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
H.  Other(3),34.426876,,,,,,Summary1.As1,NETHERLANDS,1994,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),164532.85115914725,,,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
                                           Sectoral approach(2),165943.9913373908,46.36995380487437,1.74323447795062,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
1.  Energy industries,62464.9835267225,3.55086420742519,0.57508065950755,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,30021.20300171784,2.78306865954823,0.10553639350841,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
3.  Transport,30131.54829989965,5.47643879856287,0.86108900028995,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
4.  Other sectors,43022.60770805081,34.52742435897808,0.18245817251471,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
5.  Other,303.648801,0.03215778036,0.01907025213,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,552.218149261613,77.19238346,,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
1.  Solid fuels,111.018764779113,0.4395,,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,441.1993844825,76.75288346,,,,,Summary1.As1,NETHERLANDS,1995,Subsector,1. Energy
B.  Chemical industry,4360.909472010164,10.696327,23.75931856135453,6115.824475,,,Summary1.As1,NETHERLANDS,1995,Subsector,2.  Industrial processes and product use
C.  Metal industry,378.570792,,,,2006.96445,,Summary1.As1,NETHERLANDS,1995,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,205.2570824235888,0.0062945841882,,,,,Summary1.As1,NETHERLANDS,1995,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,47.2082688707028,,Summary1.As1,NETHERLANDS,1995,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,226.9806861163663,,,Summary1.As1,NETHERLANDS,1995,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.38925,2.06253433859826,0.68917951468548,,,0.011213,Summary1.As1,NETHERLANDS,1995,Subsector,2.  Industrial processes and product use
H.  Other(3),30.507408,,,,,,Summary1.As1,NETHERLANDS,1995,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),173624.68893332296,,,,,,Summary1.As1,NETHERLANDS,1996,Subsector,1. Energy
                                           Sectoral approach(2),175479.9282824276,55.16046761876362,1.86372864415614,,,,Summary1.As1,NETHERLANDS,1996,Subsector,1. Energy
1.  Energy industries,63475.23932676982,4.0746190807847,0.62285623196292,,,,Summary1.As1,NETHERLANDS,1996,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,31122.26002515806,3.02877957701044,0.10713401379957,,,,Summary1.As1,NETHERLANDS,1996,Subsector,1. Energy
3.  Transport,31497.5756869616,5.35878261332047,0.91444930943788,,,,Summary1.As1,NETHERLANDS,1996,Subsector,1. Energy
4.  Other sectors,49080.328580838126,42.66935213784801,0.20194104640577,,,,Summary1.As1,NETHERLANDS,1996,Subsector,1. Energy
5.  Other,304.5246627,0.0289342098,0.01734804255,,,,Summary1.As1,NETHERLANDS,1996,Subsector,1. Energy
B. Fugitive emissions from fuels,496.063077677337,71.43605246,,,,,Summary1.As1,NETHERLANDS,1996,Subsector,1. Energy
1.  Solid fuels,112.015824497337,0.4421,,,,,Summary1.As1,NETHERLANDS,1996,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,384.04725318,70.99395246,,,,,Summary1.As1,NETHERLANDS,1996,Subsector,1. Energy
B.  Chemical industry,4104.464215278451,10.696474,23.79121575557882,7546.876,,,Summary1.As1,NETHERLANDS,1996,Subsector,2.  Industrial processes and product use
C.  Metal industry,393.288748,,,,2219.6166,,Summary1.As1,NETHERLANDS,1996,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,198.4493708786746,0.0063230561009,,,,,Summary1.As1,NETHERLANDS,1996,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,64.8323399161181,,Summary1.As1,NETHERLANDS,1996,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,531.829041719661,,,Summary1.As1,NETHERLANDS,1996,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.436825,2.00947347189938,0.6833037093839,,,0.011424,Summary1.As1,NETHERLANDS,1996,Subsector,2.  Industrial processes and product use
H.  Other(3),49.310636,,,,,,Summary1.As1,NETHERLANDS,1996,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),166311.41435182912,,,,,,Summary1.As1,NETHERLANDS,1997,Subsector,1. Energy
                                           Sectoral approach(2),167934.2194816811,52.43142353605859,1.84974833698184,,,,Summary1.As1,NETHERLANDS,1997,Subsector,1. Energy
1.  Energy industries,64042.21353893978,4.25632999504397,0.63087857925926,,,,Summary1.As1,NETHERLANDS,1997,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,30182.44680218284,2.98760845221243,0.10717733061052,,,,Summary1.As1,NETHERLANDS,1997,Subsector,1. Energy
3.  Transport,31415.63273562468,4.90847928624596,0.9125584041896,,,,Summary1.As1,NETHERLANDS,1997,Subsector,1. Energy
4.  Other sectors,42065.66386580879,40.25076577338823,0.18261934065346,,,,Summary1.As1,NETHERLANDS,1997,Subsector,1. Energy
5.  Other,228.262539125,0.028240029168,0.016514682269,,,,Summary1.As1,NETHERLANDS,1997,Subsector,1. Energy
B. Fugitive emissions from fuels,605.9191101811219,47.10842646,,,,,Summary1.As1,NETHERLANDS,1997,Subsector,1. Energy
1.  Solid fuels,111.402249286122,0.4405,,,,,Summary1.As1,NETHERLANDS,1997,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,494.516860895,46.66792646,,,,,Summary1.As1,NETHERLANDS,1997,Subsector,1. Energy
B.  Chemical industry,4516.37805364406,10.696621,23.61511938919628,7777.443,,,Summary1.As1,NETHERLANDS,1997,Subsector,2.  Industrial processes and product use
C.  Metal industry,401.511196,,,,2364.79062,,Summary1.As1,NETHERLANDS,1997,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,203.3041507700314,0.0063529363667,,,,,Summary1.As1,NETHERLANDS,1997,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,129.048543189047,,Summary1.As1,NETHERLANDS,1997,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,837.4058003485553,,,Summary1.As1,NETHERLANDS,1997,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.4152,2.00884688139946,0.60630945144096,,,0.012424,Summary1.As1,NETHERLANDS,1997,Subsector,2.  Industrial processes and product use
H.  Other(3),48.267784,,,,,,Summary1.As1,NETHERLANDS,1997,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),167943.8478617469,,,,,,Summary1.As1,NETHERLANDS,1998,Subsector,1. Energy
                                           Sectoral approach(2),169024.13482780172,47.62958566878641,1.87608567736318,,,,Summary1.As1,NETHERLANDS,1998,Subsector,1. Energy
1.  Energy industries,66415.70779544598,4.22149547145272,0.66186805703837,,,,Summary1.As1,NETHERLANDS,1998,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,29672.480752421765,3.10770321365265,0.10472333298984,,,,Summary1.As1,NETHERLANDS,1998,Subsector,1. Energy
3.  Transport,32103.83775638172,4.60701692536006,0.91599545283489,,,,Summary1.As1,NETHERLANDS,1998,Subsector,1. Energy
4.  Other sectors,40615.27641602727,35.66567154955298,0.17734350113108,,,,Summary1.As1,NETHERLANDS,1998,Subsector,1. Energy
5.  Other,216.832107525,0.027698508768,0.016155333369,,,,Summary1.As1,NETHERLANDS,1998,Subsector,1. Energy
B. Fugitive emissions from fuels,418.615326606662,47.42229796,,,,,Summary1.As1,NETHERLANDS,1998,Subsector,1. Energy
1.  Solid fuels,108.832903089162,0.2838555,,,,,Summary1.As1,NETHERLANDS,1998,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,309.7824235175,47.13844246,,,,,Summary1.As1,NETHERLANDS,1998,Subsector,1. Energy
B.  Chemical industry,4473.186086793702,10.789132,23.67967933743748,8773.9722,,,Summary1.As1,NETHERLANDS,1998,Subsector,2.  Industrial processes and product use
C.  Metal industry,448.341712,,,,1818.66792,,Summary1.As1,NETHERLANDS,1998,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,206.5172920287325,0.0063884757552,,,,,Summary1.As1,NETHERLANDS,1998,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,146.066944195415,,Summary1.As1,NETHERLANDS,1998,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,982.2979073272288,,,Summary1.As1,NETHERLANDS,1998,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.497375,1.91250253675544,0.58284634957605,,,0.011207,Summary1.As1,NETHERLANDS,1998,Subsector,2.  Industrial processes and product use
H.  Other(3),41.248468,,,,,,Summary1.As1,NETHERLANDS,1998,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),161776.74079908556,,,,,,Summary1.As1,NETHERLANDS,1999,Subsector,1. Energy
                                           Sectoral approach(2),163861.6210102154,46.28431730748851,1.82204352624137,,,,Summary1.As1,NETHERLANDS,1999,Subsector,1. Energy
1.  Energy industries,62723.0610041641,4.05736122754072,0.61068183377681,,,,Summary1.As1,NETHERLANDS,1999,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,29390.77227318017,3.06125041351664,0.10602998014054,,,,Summary1.As1,NETHERLANDS,1999,Subsector,1. Energy
3.  Transport,32624.93382654801,4.26780006000683,0.91056296026622,,,,Summary1.As1,NETHERLANDS,1999,Subsector,1. Energy
4.  Other sectors,38858.588958348126,34.86238470527232,0.1741344605668,,,,Summary1.As1,NETHERLANDS,1999,Subsector,1. Energy
5.  Other,264.264947975,0.035520901152,0.020634291491,,,,Summary1.As1,NETHERLANDS,1999,Subsector,1. Energy
B. Fugitive emissions from fuels,308.0822019210004,40.47530406,,,,,Summary1.As1,NETHERLANDS,1999,Subsector,1. Energy
1.  Solid fuels,89.2368447810004,0.2327666,,,,,Summary1.As1,NETHERLANDS,1999,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,218.84535714,40.24253746,,,,,Summary1.As1,NETHERLANDS,1999,Subsector,1. Energy
B.  Chemical industry,4306.529174220932,11.359045,22.56110682154429,4043.08607,,,Summary1.As1,NETHERLANDS,1999,Subsector,2.  Industrial processes and product use
C.  Metal industry,483.056069,,,,1410.91938,,Summary1.As1,NETHERLANDS,1999,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,214.947023760387,0.0064317478225,,,,,Summary1.As1,NETHERLANDS,1999,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,,188.10718901511,,Summary1.As1,NETHERLANDS,1999,Subsector,2.  Industrial processes and product use
F.  Product uses as substitutes for ODS,,,,1036.4008496529182,,,Summary1.As1,NETHERLANDS,1999,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,0.64875,1.93747732432278,0.56181260607462,,,0.010534,Summary1.As1,NETHERLANDS,1999,Subsector,2.  Industrial processes and product use
H.  Other(3),51.351692,,,,,,Summary1.As1,NETHERLANDS,1999,Subsector,2.  Industrial processes and product use
A. Fuel combustion     Reference approach(2),163318.7704676033,,,,,,Summary1.As1,NETHERLANDS,2000,Subsector,1. Energy
                                           Sectoral approach(2),164930.0635048596,45.2391109209533,1.87328720888939,,,,Summary1.As1,NETHERLANDS,2000,Subsector,1. Energy
1.  Energy industries,64347.45415653059,4.1230071433619,0.65349816795045,,,,Summary1.As1,NETHERLANDS,2000,Subsector,1. Energy
