GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level
1. Energy,33172.51493970116,6.31070258097957,0.21830753733028,,Summary1.As1,EST,1991,Sector
2.  Industrial processes and product use,960.2985417425434,,0.01944193521503,2.1135e-06,Summary1.As1,EST,1991,Sector
