GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level
1. Energy,10290.428383965882,2.28665569887796,0.2403008370948,,,Summary1.As1,EST,2021,Sector
2.  Industrial processes and product use,100.26980450527444,,0.009023374,190.20812155407268,0.00013064858756,Summary1.As1,EST,2021,Sector
