GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level
1. Energy,63455.85744618975,19.66368725223203,1.16435958321312,,Summary1.As1,DENMARK,1991,Sector
2.  Industrial processes and product use,1377.5150922260182,0.08969419256637,3.14498778354724,0.00267825,Summary1.As1,DENMARK,1991,Sector
