GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level
1. Energy,57596.231255377505,20.41894262187997,1.13212562190552,,,Summary1.As1,DENMARK,1992,Sector
2.  Industrial processes and product use,1540.8757544456976,0.10837014026125,2.78478932187878,3.5574,0.00378625,Summary1.As1,DENMARK,1992,Sector
