GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
3.  Agriculture,221.5749254484235,264.86390627312613,18.47016660896881,Summary1.As2,DENMARK,2005,Sector
"4.  Land use, land-use change and forestry  (4)",4857.172535140145,10.0052303890425,0.16103798622798,Summary1.As2,DENMARK,2005,Sector
5.  Waste,24.64355559146137,34.52184620439871,0.77454530397914,Summary1.As2,DENMARK,2005,Sector
