GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),128883.81912740669,,,,Summary1.As1,CZECH REPUBLIC,1992,Subsector,1. Energy
                                           Sectoral approach(2),131670.31615396184,61.72092977778158,2.16164139496898,,Summary1.As1,CZECH REPUBLIC,1992,Subsector,1. Energy
1.  Energy industries,54398.45241545239,0.64836016461584,0.78862694725291,,Summary1.As1,CZECH REPUBLIC,1992,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,43631.24791433779,3.84636762176255,0.56963028261105,,Summary1.As1,CZECH REPUBLIC,1992,Subsector,1. Energy
3.  Transport,10429.983931623914,3.47732785046996,0.32173483010196,,Summary1.As1,CZECH REPUBLIC,1992,Subsector,1. Energy
4.  Other sectors,23012.27582554774,53.72529457293076,0.47478644415034,,Summary1.As1,CZECH REPUBLIC,1992,Subsector,1. Energy
5.  Other,198.35606699999997,0.02357956800247,0.00686289085272,,Summary1.As1,CZECH REPUBLIC,1992,Subsector,1. Energy
B. Fugitive emissions from fuels,396.29551494253275,405.61299579971796,4.989646753e-05,,Summary1.As1,CZECH REPUBLIC,1992,Subsector,1. Energy
1.  Solid fuels,392.82889500000005,371.700976,,,Summary1.As1,CZECH REPUBLIC,1992,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,3.46661994253267,33.91201979971795,4.989646753e-05,,Summary1.As1,CZECH REPUBLIC,1992,Subsector,1. Energy
