GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level
1. Energy,15117.216800735818,28.748349480465,0.65533068239585,,Summary1.As1,CROATIA,1993,Sector
2.  Industrial processes and product use,1636.569777037691,0.249828,2.31183632,0.000473974,Summary1.As1,CROATIA,1993,Sector
