GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,20362.896533671785,33.33387066440652,0.81633389828261,,,Summary1.As1,CROATIA,1990,Sector
2.  Industrial processes and product use,2561.2322992960635,0.373839,2.65429088,1117.283904,0.000470436,Summary1.As1,CROATIA,1990,Sector
