GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),SF6 (kt),Sheet,Country,Year,Level
1. Energy,14179.927276287995,26.17666723156341,0.63783067024001,,Summary1.As1,CROATIA,1994,Sector
2.  Industrial processes and product use,1821.7725828511525,0.2610594,2.49320093,0.000508736,Summary1.As1,CROATIA,1994,Sector
