GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,15017.89125671767,31.36329989163078,0.69787527200676,,,Summary1.As1,CROATIA,1991,Sector
2.  Industrial processes and product use,1915.8755392250218,0.3497286,2.34729872,766.4096880000001,0.000465286,Summary1.As1,CROATIA,1991,Sector
