GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level
1. Energy,18358.83775649131,24.93555079642195,0.89909746749518,,,Summary1.As1,CROATIA,2001,Sector
2.  Industrial processes and product use,2324.681107352165,0.1407372,2.07428555,62.000650657928,0.000544941,Summary1.As1,CROATIA,2001,Sector
