GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),PFCs(1),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
B.  Chemical industry,7413.171716837613,4.49714626397419,38.52284039051642,,,Summary1.As1,CANADA,1994,Subsector,2.  Industrial processes and product use
C.  Metal industry,14745.91950387408,0.0978704958,,6894.966255875266,0.09803527311513,Summary1.As1,CANADA,1994,Subsector,2.  Industrial processes and product use
D.  Non-energy products from fuels and solvent use ,6039.28839207065,,,,,Summary1.As1,CANADA,1994,Subsector,2.  Industrial processes and product use
E.  Electronic industry ,,,,0.04828626,0.00019200228246,Summary1.As1,CANADA,1994,Subsector,2.  Industrial processes and product use
G.  Other product manufacture and use ,,,0.53999452029251,,0.00886659792805,Summary1.As1,CANADA,1994,Subsector,2.  Industrial processes and product use
