GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),9214.778281153047,,,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy
                                           Sectoral approach(2),8926.22636760873,13.04608935108675,0.44139627751403,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy
1.  Energy industries,3417.272840635638,0.12185823811666,0.02614420381167,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1905.5799726846853,0.14378450629331,0.06315121662932,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy
3.  Transport,2048.0578145275763,0.61867713519086,0.14899708280521,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy
4.  Other sectors,1549.1381397608295,12.16172627148592,0.20293097426783,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy
5.  Other,6.1776,4.32e-05,0.0001728,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy
B. Fugitive emissions from fuels,0.009185,7.915046,,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.009185,7.915046,,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy
A.  Mineral industry,126.57337453124009,,,,,Summary1.As1,LATVIA,1995,Subsector,1. Energy
