GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),10408.358918066499,,,Summary1.As1,LATVIA,1994,Subsector,1. Energy
                                           Sectoral approach(2),10174.927607606212,12.58153872625861,0.4907202653215,Summary1.As1,LATVIA,1994,Subsector,1. Energy
1.  Energy industries,3743.3051795875526,0.15221439531324,0.03161390953132,Summary1.As1,LATVIA,1994,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,1951.2210181226833,0.14762131367009,0.06622155851701,Summary1.As1,LATVIA,1994,Subsector,1. Energy
3.  Transport,2149.8971555192948,0.66560808026866,0.14788995415994,Summary1.As1,LATVIA,1994,Subsector,1. Energy
4.  Other sectors,2330.5042543766826,11.61609493700662,0.24499484311323,Summary1.As1,LATVIA,1994,Subsector,1. Energy
B. Fugitive emissions from fuels,0.009431,8.127531,,Summary1.As1,LATVIA,1994,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.009431,8.127531,,Summary1.As1,LATVIA,1994,Subsector,1. Energy
A.  Mineral industry,108.05538690621506,,,Summary1.As1,LATVIA,1994,Subsector,1. Energy
C.  Metal industry,50.03536351246577,0.001659775,,Summary1.As1,LATVIA,1994,Subsector,1. Energy
