GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),6639.385208529593,,,,,Summary1.As1,LATVIA,2009,Subsector,1. Energy
                                           Sectoral approach(2),7192.117644899908,11.78203216442864,0.51519421040544,,,Summary1.As1,LATVIA,2009,Subsector,1. Energy
1.  Energy industries,1877.0710590790272,0.18170371262957,0.02407937126296,,,Summary1.As1,LATVIA,2009,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,875.5666098469837,0.30020661632654,0.0825568785483,,,Summary1.As1,LATVIA,2009,Subsector,1. Energy
3.  Transport,3151.4636253657623,0.33593269292434,0.16284142872117,,,Summary1.As1,LATVIA,2009,Subsector,1. Energy
4.  Other sectors,1282.6793998821345,10.96383398348069,0.24557076556301,,,Summary1.As1,LATVIA,2009,Subsector,1. Energy
5.  Other,5.336950726,0.0003551590675,0.00014576631,,,Summary1.As1,LATVIA,2009,Subsector,1. Energy
B. Fugitive emissions from fuels,0.004416,3.805012,,,,Summary1.As1,LATVIA,2009,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.004416,3.805012,,,,Summary1.As1,LATVIA,2009,Subsector,1. Energy
A.  Mineral industry,190.96817606064408,,,,,Summary1.As1,LATVIA,2009,Subsector,1. Energy
