GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),SF6 (kt),Sheet,Country,Year,Level,Parent_Sector
A. Fuel combustion     Reference approach(2),6701.561015958099,,,,,Summary1.As1,LATVIA,2011,Subsector,1. Energy
                                           Sectoral approach(2),7179.696582913904,9.49308303658468,0.54053465192032,,,Summary1.As1,LATVIA,2011,Subsector,1. Energy
1.  Energy industries,2081.8049485483757,0.188277,0.0246649,,,Summary1.As1,LATVIA,2011,Subsector,1. Energy
2.  Manufacturing industries and construction                          ,872.4917810402793,0.435173664259,0.1076488243012,,,Summary1.As1,LATVIA,2011,Subsector,1. Energy
3.  Transport,2861.4683223207808,0.28291433947426,0.16532160244011,,,Summary1.As1,LATVIA,2011,Subsector,1. Energy
4.  Other sectors,1356.7123531294683,8.58614729496342,0.24270322748701,,,Summary1.As1,LATVIA,2011,Subsector,1. Energy
5.  Other,7.219177875,0.000570737888,0.000196097692,,,Summary1.As1,LATVIA,2011,Subsector,1. Energy
B. Fugitive emissions from fuels,0.005402,2.521161,,,,Summary1.As1,LATVIA,2011,Subsector,1. Energy
2.  Oil and natural gas and other emissions from energy production,0.005402,2.521161,,,,Summary1.As1,LATVIA,2011,Subsector,1. Energy
A.  Mineral industry,569.0033066326557,,,,,Summary1.As1,LATVIA,2011,Subsector,1. Energy
