GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,346340.1337176253,337.8848651082205,15.71783377200009,,,,,Summary1.As1,ITALY,2015,Sector
2.  Industrial processes and product use,15038.773367587979,1.6988873089582,2.05600110555681,15629.738658776036,1528.7256666666667,24.428296784,0.02065069120228,Summary1.As1,ITALY,2015,Sector
