GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level
3.  Agriculture,443.6244385889645,752.2655057070028,40.14005850576355,Summary1.As2,ITALY,2014,Sector
"4.  Land use, land-use change and forestry  (4)",-42542.2816596964,10.9757609174878,1.20846516628891,Summary1.As2,ITALY,2014,Sector
5.  Waste,116.90742464429997,657.816521424231,6.28827924485218,Summary1.As2,ITALY,2014,Sector
