GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),Sheet,Country,Year,Level
1. Energy,403112.89685933455,377.28936866772796,17.97646666679025,,,,,Summary1.As1,ITALY,2009,Sector
2.  Industrial processes and product use,21171.546547234004,1.72944529633915,5.849075,13114.507485431455,1099.479271744554,24.428296784,0.02067602515718,Summary1.As1,ITALY,2009,Sector
