GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,914.4122927821281,,Summary1.As2,GBR,2005,Subsector,3.  Agriculture
B.  Manure management,,156.92611791529484,10.69273070061971,Summary1.As2,GBR,2005,Subsector,3.  Agriculture
D.  Agricultural soils,,,43.82048743001639,Summary1.As2,GBR,2005,Subsector,3.  Agriculture
G. Liming,1380.4510049826836,,,Summary1.As2,GBR,2005,Subsector,3.  Agriculture
H. Urea application,186.73766674111198,,,Summary1.As2,GBR,2005,Subsector,3.  Agriculture
J.  Other ,3.13385643826553,10.03903743121003,0.47414472490355,Summary1.As2,GBR,2005,Subsector,3.  Agriculture
A. Forest land (4),-18455.910628150395,4.18446197689059,1.69955163165819,Summary1.As2,GBR,2005,Subsector,3.  Agriculture
B. Cropland (4),13449.900576097429,11.62578089413016,1.68341014582452,Summary1.As2,GBR,2005,Subsector,3.  Agriculture
C. Grassland (4),-1053.1037412172716,98.63017181744254,0.10629713074481,Summary1.As2,GBR,2005,Subsector,3.  Agriculture
