GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4 (kt),N2O (kt),Sheet,Country,Year,Level,Parent_Sector
A.  Enteric fermentation,,276.5517659958421,,Summary1.As2,BLR,2004,Subsector,3.  Agriculture
B.  Manure management,,21.55302702540131,2.65344738108078,Summary1.As2,BLR,2004,Subsector,3.  Agriculture
D.  Agricultural soils,,,30.35193696628578,Summary1.As2,BLR,2004,Subsector,3.  Agriculture
G. Liming,974.336,,,Summary1.As2,BLR,2004,Subsector,3.  Agriculture
H. Urea application,338.8623333333333,,,Summary1.As2,BLR,2004,Subsector,3.  Agriculture
A. Forest land (4),-47169.21798033338,0.191997904,0.0547386059,Summary1.As2,BLR,2004,Subsector,3.  Agriculture
B. Cropland (4),19284.32000000002,,,Summary1.As2,BLR,2004,Subsector,3.  Agriculture
D. Wetlands (4),10.48666666666668,,0.0022,Summary1.As2,BLR,2004,Subsector,3.  Agriculture
E. Settlements (4),-4374.393329057202,,,Summary1.As2,BLR,2004,Subsector,3.  Agriculture
