GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,1552.7881232073594,1018.5164470870818,52.01305490264079,,,,,,27.56756564868747,"NO,NE,NA",114.88867716526923,NO,2008,Sector
"4.  Land use, land-use change and forestry  (4)",-5130.821460931492,199.06808980874484,5.49680129312228,,,,,,1.11577311691245,34.75086073779361,NO,NO,2008,Sector
5.  Waste,400.74986468622586,1423.1785408570554,4.50953840008421,,,,,,1.88256915899846,31.74677816961172,12.97826957170181,0.82713286137178,2008,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2008,Sector
