GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,1109.1908247224499,1162.470598135969,59.41626776781218,,,,,,35.55918761688932,3.9719702122767,115.93337299832305,0.0297034463445,1993,Sector
"4.  Land use, land-use change and forestry  (4)",1813.7736674374844,198.15513547026356,6.99454560768628,,,,,,0.83052190869233,17.86155953694796,NO,NO,1993,Sector
5.  Waste,1357.3670305573405,2561.8922034546567,3.50481161548283,,,,,,5.87251589610439,35.61370446989955,18.42747345098065,5.46523608312378,1993,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1993,Sector
