GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year,Level
1. Energy,527796.8256472688,912.5411855234728,11.7130449073548,,,,1998,Sector
2.  Industrial processes and product use,40664.82431251041,7.44560923854176,51.21829114700328,15373.822893074397,435.31214191674064,0.05789710508732,1998,Sector
