GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,769.2899208997696,1062.2275793345361,57.35390208837542,,,,,,32.74637966623892,"NO,NE,NA",114.80585420030214,NO,2002,Sector
"4.  Land use, land-use change and forestry  (4)",-2299.876610017459,197.74573666425604,6.08127070357783,,,,,,1.12839610310241,32.51521892736182,NO,NO,2002,Sector
5.  Waste,632.5699765241154,2258.5890759076888,4.19274949116647,,,,,,2.49081221548908,35.29381670135348,16.903337415442,1.02812117086273,2002,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2002,Sector
