GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,2002,Sector
International bunkers,36536.46407333555,0.2470682323789,1.28119309135372,,,,,,319.1801800679062,28.42775161374237,9.04581786091175,100.97584120804665,2002,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,2002,Sector
CO2 emissions from biomass,7751.9299500008565,,,,,,,,,,,,2002,Sector
CO2 captured,NO,,,,,,,,,,,,2002,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,2002,Sector
Indirect N2O,,,9.26561194269755,,,,,,,,,,2002,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,2002,Sector
