GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,1584.551941609845,1059.3909122473638,53.43397274775167,,,,,,29.20664973927929,"NO,NE,NA",115.60139803868407,NO,2006,Sector
"4.  Land use, land-use change and forestry  (4)",-3992.1964522487046,198.62852698127907,5.67715973621895,,,,,,1.26776437279797,35.8690558153817,NO,NO,2006,Sector
5.  Waste,383.9601106633848,1726.390745002819,4.44146835522859,,,,,,2.10596070250119,33.24262902300991,14.65539804086519,0.9020266955469,2006,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2006,Sector
