GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,1990,Sector
International bunkers,24271.88183065447,0.44290986744877,0.90837589239406,,,,,,286.88196827282457,28.73024913104538,13.15329069578696,143.2001811825171,1990,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,1990,Sector
CO2 emissions from biomass,3849.1392108948125,,,,,,,,,,,,1990,Sector
CO2 captured,NO,,,,,,,,,,,,1990,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,1990,Sector
Indirect N2O,,,13.80953057549712,,,,,,,,,,1990,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,1990,Sector
