GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,2006,Sector
International bunkers,45004.78588703769,0.28120982564177,1.58076646973889,,,,,,403.52280444009784,32.7644306924141,11.16703347424884,142.03636012644685,2006,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,2006,Sector
CO2 emissions from biomass,12402.289759960933,,,,,,,,,,,,2006,Sector
CO2 captured,NO,,,,,,,,,,,,2006,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,2006,Sector
Indirect N2O,,,8.52750901994058,,,,,,,,,,2006,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,2006,Sector
