GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,1053.4498246604091,1173.2121091677154,63.49466448610236,,,,,,37.7168975476367,"NO,NE,NA",125.54563739315157,NO,1997,Sector
"4.  Land use, land-use change and forestry  (4)",-62.95978519572293,197.61311682023802,6.70474258980002,,,,,,1.11412243003691,27.9759578807184,NO,NO,1997,Sector
5.  Waste,730.1345457801694,2631.7328176889914,3.81431996263382,,,,,,2.80553219975944,33.81799047101321,18.43613079370471,1.31554897574327,1997,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1997,Sector
