GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,970.5066717575482,1071.8206195569012,57.01620295481747,,,,,,32.51626249668904,"NO,NE,NA",116.64757859371102,NO,2003,Sector
"4.  Land use, land-use change and forestry  (4)",-2478.070003524275,198.9924395405015,6.08159490454935,,,,,,2.78921104342453,62.59330344039775,NO,NO,2003,Sector
5.  Waste,611.6439454876187,2115.226908599903,4.18819252488014,,,,,,2.45107656842057,34.81971649866246,16.25018298247447,1.03371329337227,2003,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2003,Sector
