GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,1996,Sector
International bunkers,30721.38087812836,0.34074436731885,1.12430490638659,,,,,,330.08523810388823,28.87111525345416,11.77698237675082,136.08458057088393,1996,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,1996,Sector
CO2 emissions from biomass,6700.156139249894,,,,,,,,,,,,1996,Sector
CO2 captured,NO,,,,,,,,,,,,1996,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,1996,Sector
Indirect N2O,,,11.60930386204646,,,,,,,,,,1996,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,1996,Sector
