GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,2003,Sector
International bunkers,36957.92151194623,0.24474405567237,1.29144387426899,,,,,,322.2212297353418,27.72225625304428,9.06040759440393,105.97657979631641,2003,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,2003,Sector
CO2 emissions from biomass,8822.205912300842,,,,,,,,,,,,2003,Sector
CO2 captured,NO,,,,,,,,,,,,2003,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,2003,Sector
Indirect N2O,,,9.13702605766059,,,,,,,,,,2003,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,2003,Sector
