GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,930.6023778262797,1171.087387353348,62.59854726931179,,,,,,37.6748475426146,"NO,NE,NA",124.57464345696972,NO,1999,Sector
"4.  Land use, land-use change and forestry  (4)",-647.7010574525444,196.81064816629672,6.44261699698693,,,,,,0.84642973156932,18.42786286106982,NO,NO,1999,Sector
5.  Waste,683.7176300660886,2474.727537118951,3.9574142829742,,,,,,2.55264920061871,35.2753273813144,17.8266751462053,1.70373809416551,1999,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1999,Sector
