GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,1389.6220400746072,1157.9974090478333,62.97354595791011,,,,,,43.79950281360516,168.9936495678954,118.79157672800383,1.13501736223112,1991,Sector
"4.  Land use, land-use change and forestry  (4)",3183.095061353885,198.7648820573357,7.15096975757703,,,,,,0.91625140175708,20.91966778964855,NO,NO,1991,Sector
5.  Waste,1413.9562295202718,2533.9213916161984,3.31037496310122,,,,,,6.66301046092103,36.76415416850711,18.71859643875981,7.62865447739405,1991,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1991,Sector
