GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,2000,Sector
International bunkers,38126.52255046724,0.2793972481131,1.33602532483633,,,,,,334.4187199070938,30.68421258905343,10.00132874482513,106.47338319748246,2000,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,2000,Sector
CO2 emissions from biomass,6828.396666275431,,,,,,,,,,,,2000,Sector
CO2 captured,NO,,,,,,,,,,,,2000,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,2000,Sector
Indirect N2O,,,9.89858371849779,,,,,,,,,,2000,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,2000,Sector
