GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,1330.4750018476766,1080.553933060078,56.12853997679075,,,,,,31.37513063295048,"NO,NE,NA",119.90984084609389,NO,2004,Sector
"4.  Land use, land-use change and forestry  (4)",-3255.162063760689,198.1303614862252,5.88819314445629,,,,,,1.11151260600471,33.31412549059091,NO,NO,2004,Sector
5.  Waste,592.887656019839,1942.1015636571615,4.23317390757207,,,,,,2.30373126506089,33.6217523822871,15.13878441500257,0.96614611235463,2004,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2004,Sector
