GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,1112.3078198511855,1167.9954749871033,61.46111013501815,,,,,,37.37803430862759,"NO,NE,NA",115.81349095222633,NO,1994,Sector
"4.  Land use, land-use change and forestry  (4)",1427.8593689810348,197.84947075569613,6.92214208076699,,,,,,0.82159730443418,17.54297883433755,NO,NO,1994,Sector
5.  Waste,1163.283836442643,2583.721209193771,3.55290797548022,,,,,,4.96030967078212,34.71086785897597,18.39394042222417,4.81600650240018,1994,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1994,Sector
