GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
1. Energy,509703.9239061362,418.71405607765746,8.79592902144771,,,,,,1415.5954156386367,2108.6028597590994,437.2091783872906,515.4645978594974,2008,Sector
2.  Industrial processes and product use,35245.54267782721,4.52773520087068,11.28686971500748,10396.918280966562,238.15566631334542,"NO,NE",0.02851915001348,2.288348058e-05,20.18719442114664,371.11199435840246,486.31244417735263,38.77740200131004,2008,Sector
