GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,1999,Sector
International bunkers,36080.40112783905,0.31296479363626,1.28336968459127,,,,,,341.914638845253,30.97787332486989,10.96811807408508,120.3632057162889,1999,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,1999,Sector
CO2 emissions from biomass,7002.272736831183,,,,,,,,,,,,1999,Sector
CO2 captured,NO,,,,,,,,,,,,1999,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,1999,Sector
Indirect N2O,,,10.15625329408348,,,,,,,,,,1999,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,1999,Sector
