GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,1991,Sector
International bunkers,23987.35844615629,0.38217180477497,0.89828170078315,,,,,,281.7939278053413,26.81954649868192,12.064949338672,134.33447367575255,1991,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,1991,Sector
CO2 emissions from biomass,3930.222437793754,,,,,,,,,,,,1991,Sector
CO2 captured,NO,,,,,,,,,,,,1991,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,1991,Sector
Indirect N2O,,,13.50517806928186,,,,,,,,,,1991,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,1991,Sector
