GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,1641.5733894450811,1052.549387921461,52.35699196873851,,,,,,28.14467268216816,"NO,NE,NA",115.42291018434372,NO,2007,Sector
"4.  Land use, land-use change and forestry  (4)",-4337.019740424854,199.26209407721763,5.61868066365788,,,,,,1.77902736249145,46.49935499942903,NO,NO,2007,Sector
5.  Waste,453.0504957286163,1600.5010866590949,4.60284643220396,,,,,,2.00962890294174,32.88597065955728,14.00504600393411,0.89087641217755,2007,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,2007,Sector
