GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year,Level
1. Energy,393879.784168174,306.3086194036188,8.48806159270164,,,,2015,Sector
2.  Industrial processes and product use,28209.289972096725,3.35925533039012,2.87991358919633,13349.290500012065,257.22316213203703,0.01778316379032,2015,Sector
