GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,1997,Sector
International bunkers,32971.798096308245,0.3558655119454,1.21074948758567,,,,,,365.294643331608,30.13645728827944,12.63609724486685,154.0362015960495,1997,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,1997,Sector
CO2 emissions from biomass,6068.312248021365,,,,,,,,,,,,1997,Sector
CO2 captured,NO,,,,,,,,,,,,1997,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,1997,Sector
Indirect N2O,,,10.83624314591378,,,,,,,,,,1997,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,1997,Sector
