GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
1. Energy,519972.88229007047,1007.5436041293833,11.63732605258719,,,,,,2131.5410964472812,5292.25798050073,1263.388334311704,1667.9358177811598,1997,Sector
2.  Industrial processes and product use,43089.93418425033,9.43989509251557,50.3007481126406,18356.108004685513,446.9412735815819,"NO,NE",0.0558155329415,2.232213714e-05,34.27439128370048,654.9310757667887,727.8635453909553,90.34483430064957,1997,Sector
