GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,1994,Sector
International bunkers,26912.982598157305,0.31851586314054,0.98003655368696,,,,,,277.6632045629733,27.08476954414808,10.5559106584596,113.69886428195078,1994,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,1994,Sector
CO2 emissions from biomass,6159.935520770158,,,,,,,,,,,,1994,Sector
CO2 captured,NO,,,,,,,,,,,,1994,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,1994,Sector
Indirect N2O,,,12.45109861865818,,,,,,,,,,1994,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,1994,Sector
