GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,2001,Sector
International bunkers,37985.43023138007,0.26244370192817,1.34031660810677,,,,,,339.01937347943283,29.83115865249071,9.72419713558972,107.9326821277235,2001,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,2001,Sector
CO2 emissions from biomass,7129.692558756659,,,,,,,,,,,,2001,Sector
CO2 captured,NO,,,,,,,,,,,,2001,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,2001,Sector
Indirect N2O,,,9.70468885470936,,,,,,,,,,2001,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,2001,Sector
