GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,1995,Sector
International bunkers,28631.208922624322,0.32419253377595,1.04339519678708,,,,,,300.99858405066766,27.69733035904486,11.0932641593277,124.12452811748729,1995,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,1995,Sector
CO2 emissions from biomass,6551.695598299095,,,,,,,,,,,,1995,Sector
CO2 captured,NO,,,,,,,,,,,,1995,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,1995,Sector
Indirect N2O,,,12.02337989026401,,,,,,,,,,1995,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,1995,Sector
