GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 emissions/removals (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),SF6 (kt),Year,Level
1. Energy,467560.6168792674,411.80302835049275,8.10932414119467,,,,2009,Sector
2.  Industrial processes and product use,26432.812229520478,4.8621309752211,6.62424261658579,10920.908323045656,174.2226674221379,0.02443735752603,2009,Sector
