GREENHOUSE GAS SOURCE AND SINK CATEGORIES,Net CO2 (kt),CH4,N2O,HFCs(1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
Memo items:(7),,,,,,,,,,,,,1992,Sector
International bunkers,25817.507716357057,0.36438727366065,0.95955047409246,,,,,,293.0930800925537,27.7496878022887,11.99112979173774,131.9881467207244,1992,Sector
Multilateral operations,NE,NE,NE,,,,,,NE,NE,NE,NE,1992,Sector
CO2 emissions from biomass,4251.335368228465,,,,,,,,,,,,1992,Sector
CO2 captured,NO,,,,,,,,,,,,1992,Sector
Long-term storage of C in waste disposal sites,NE,,,,,,,,,,,,1992,Sector
Indirect N2O,,,13.22923039146129,,,,,,,,,,1992,Sector
Indirect CO2,"NO,NE",,,,,,,,,,,,1992,Sector
