GREENHOUSE GAS SOURCE AND SINK CATEGORIES,CO2 (kt),CH4,N2O,HFCs (1) (kt CO2 equivalent),PFCs(1),Unspecified mix of HFCs and PFCs(1),SF6 (kt),NF3,NOx,CO,NMVOC,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND SO2,Year,Level
3.  Agriculture,986.7518717568745,1176.7034605179344,62.4856611440181,,,,,,37.05921557769702,"NO,NE,NA",122.44502635401336,NO,1998,Sector
"4.  Land use, land-use change and forestry  (4)",-815.3711766353647,197.18831870558944,6.57579459039552,,,,,,0.96655007645521,22.7124475568712,NO,NO,1998,Sector
5.  Waste,734.118553929963,2587.9950037190024,3.95283236716829,,,,,,2.64540676858248,34.95409462903968,18.16540637460379,1.38138733564287,1998,Sector
6.  Other   (please specify)(6),NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,1998,Sector
